Referência;MARCA;Impressora;Descrição;Capacidade;Família;Preço de Compra s/Imposto;PVD2;PVD3;Preço c/Imposto;PVD3
BI-LC980XLBK;BROTHER;Tinta (Ink-jet);BROTHER LC980XL/LC1100XL BLACK CARTUCHO DE TINTA GENERICO;28 ml;181;0,29   ;0,41   ;0,39   ;3,90   ;Si
BI-LC980XLCY;BROTHER;Tinta (Ink-jet);BROTHER LC980XL/LC1100XL CYAN CARTUCHO DE TINTA GENERICO;18 ml;181;0,22   ;0,31   ;0,30   ;3,90   ;Si
BI-LC980XLMG;BROTHER;Tinta (Ink-jet);BROTHER LC980XL/LC1100XL MAGENTA CARTUCHO DE TINTA GENERICO;18 ml;181;0,22   ;0,31   ;0,30   ;3,90   ;Si
BI-LC980XLYL;BROTHER;Tinta (Ink-jet);BROTHER LC980XL/LC1100XL YELLOW CARTUCHO DE TINTA GENERICO;18 ml;181;0,22   ;0,31   ;0,30   ;3,90   ;Si
BI-LC980YL(YBOX);BROTHER;Tinta (Ink-jet);BROTHER LC980/LC1100 YELLOW CARTUCHO DE TINTA GENERICO (Caixa Amarela);12 ml;181;0,22   ;0,31   ;0,30   ;3,90   ;Si
BI-LC985BK(YBOX);BROTHER;Tinta (Ink-jet);BROTHER LC985 BLACK CARTUCHO DE TINTA GENERICO (Caixa Amarela);16 ml;181;0,24   ;0,34   ;0,32   ;3,90   ;Si
BI-LC985CY(YBOX);BROTHER;Tinta (Ink-jet);BROTHER LC985 CYAN CARTUCHO DE TINTA GENERICO (Caixa Amarela);11 ml;181;0,22   ;0,31   ;0,30   ;3,90   ;Si
BI-LC985MG(YBOX);BROTHER;Tinta (Ink-jet);BROTHER LC985 MAGENTA CARTUCHO DE TINTA GENERICO (Caixa Amarela);11 ml;181;0,22   ;0,31   ;0,30   ;3,90   ;Si
BI-LC985PK*5;BROTHER;Tinta (Ink-jet);BROTHER LC985 MULTIPACK DE 5 CARTUCHOS DE TINTA GENERICOS;5*12 ml;181;1,14   ;1,59   ;1,53   ;14,50   ;Si
BI-LC985XLBK;BROTHER;Tinta (Ink-jet);BROTHER LC985XL BLACK CARTUCHO DE TINTA GENERICO LC985BK;28 ml;181;0,29   ;0,41   ;0,39   ;3,90   ;Si
BI-LC985XLCY;BROTHER;Tinta (Ink-jet);BROTHER LC985XL CYAN CARTUCHO DE TINTA GENERICO LC985C;18 ml;181;0,23   ;0,32   ;0,31   ;3,90   ;Si
BI-LC985XLMG;BROTHER;Tinta (Ink-jet);BROTHER LC985XL MAGENTA CARTUCHO DE TINTA GENERICO LC985M;18 ml;181;0,23   ;0,32   ;0,31   ;3,90   ;Si
BI-LC985XLYL;BROTHER;Tinta (Ink-jet);BROTHER LC985XL YELLOW CARTUCHO DE TINTA GENERICO LC985Y;18 ml;181;0,23   ;0,32   ;0,31   ;3,90   ;Si
BI-LC985YL(YBOX);BROTHER;Tinta (Ink-jet);BROTHER LC985 YELLOW CARTUCHO DE TINTA GENERICO (Caixa Amarela);11 ml;181;0,22   ;0,31   ;0,30   ;3,90   ;Si
BR-DK11201;BROTHER;Etiquetas;BROTHER DK11201 ETIQUETAS PRECORTADAS DE DIRECCION ESTANDAR DE PAPEL TERMICO GENERICO DK-11201;29mm * 90mm;239;1,68   ;2,36   ;2,27   ;6,50   ;Si
BR-DK11202;BROTHER;Etiquetas;BROTHER DK11202 ETIQUETAS PRECORTADAS PARA ENVIOS DE PAPEL TERMICO GENERICO DK-11202;62mm * 100mm;239;2,27   ;3,17   ;3,06   ;8,95   ;Si
BR-DK11203;BROTHER;Etiquetas;BROTHER DK11203 ETIQUETAS PRECORTADAS PARA CARPETAS DE PAPEL TERMICO GENERICO DK-11203;17mm * 87mm;239;1,97   ;2,76   ;2,66   ;6,50   ;No
BR-DK11204;BROTHER;Etiquetas;BROTHER DK11204 ETIQUETAS PRECORTADAS MULTIPROPOSITO DE PAPEL TERMICO GENERICO DK-11204;17mm * 54mm;239;1,99   ;2,79   ;2,69   ;4,90   ;No
BR-DK11208;BROTHER;Etiquetas;BROTHER DK11208 ETIQUETAS PRECORTADAS DE DIRECCION GRANDES DE PAPEL TERMICO GENERICO DK-11208;38mm * 90mm;239;2,22   ;3,11   ;3,00   ;7,50   ;Si
BR-DK11209;BROTHER;Etiquetas;BROTHER DK11209 ETIQUETAS PRECORTADAS DE DIRECCION PEQUEÑAS DE PAPEL TERMICO GENERICO DK-11209;62mm * 29mm;239;2,07   ;2,90   ;2,79   ;7,50   ;No
BR-DK11218;BROTHER;Etiquetas;BROTHER DK11218 ETIQUETAS PRECORTADAS CIRCULARES DE PAPEL TERMICO GENERICO DK-11218;24mm * 24mm;239;1,69   ;2,37   ;2,29   ;8,95   ;Si
BR-DK11219;BROTHER;Etiquetas;BROTHER DK11219 ETIQUETAS PRECORTADAS CIRCULARES DE PAPEL TERMICO GENERICO DK-11219;12mm * 12mm;239;2,83   ;3,96   ;3,81   ;8,95   ;Si
BR-DK11221;BROTHER;Etiquetas;BROTHER DK11221 ETIQUETAS PRECORTADAS CUADRADAS DE PAPEL TERMICO GENERICO DK-11221;23mm * 23mm;239;2,19   ;3,06   ;2,95   ;8,95   ;No
BR-DK11240;BROTHER;Etiquetas;BROTHER DK11240 ETIQUETAS PRECORTADAS MULTIPROPOSITO GRANDES DE PAPEL TERMICO GENERICO DK-11240;102mm * 51mm;239;3,84   ;5,38   ;5,19   ;11,75   ;Si
BR-DK11241;BROTHER;Etiquetas;BROTHER DK11241 ETIQUETAS PRECORTADAS PARA ENVIOS GRANDES DE PAPEL TERMICO GENERICAS DK-11241;102mm * 152mm;239;3,51   ;4,91   ;4,74   ;11,75   ;No
BR-DK22205;BROTHER;Etiquetas;BROTHER DK22205 BLANCA FITA CONTINUA DE PAPEL TERMICO GENERICO DK-22205;62mm * 30.48m;239;2,12   ;2,97   ;2,86   ;8,95   ;Si
BR-DK22210;BROTHER;Etiquetas;BROTHER DK22210 BLANCA FITA CONTINUA DE PAPEL TERMICO GENERICO DK-22210;29mm * 30.48m;239;1,79   ;2,51   ;2,42   ;6,50   ;Si
BR-DK22211;BROTHER;Etiquetas;BROTHER DK22211 BLANCA FITA CONTINUA DE PAPEL TERMICO GENERICO DK-22211;29mm * 15.24m;239;3,50   ;4,90   ;4,73   ;11,75   ;No
BR-DK22212;BROTHER;Etiquetas;BROTHER DK22212 BLANCA FITA CONTINUA DE PAPEL TERMICO GENERICO DK-22212;62mm * 15.24m;239;3,71   ;5,19   ;5,00   ;11,75   ;No
BR-DK22214;BROTHER;Etiquetas;BROTHER DK22214 BLANCA FITA CONTINUA DE PAPEL TERMICO GENERICO DK-22214;12mm * 30.48m;239;1,96   ;2,74   ;2,64   ;6,50   ;No
BR-DK22223;BROTHER;Etiquetas;BROTHER DK22223 BLANCA FITA CONTINUA DE PAPEL TERMICO GENERICO DK-22223;50mm * 30.48m;239;2,13   ;2,98   ;2,88   ;8,95   ;No
BR-DK22225;BROTHER;Etiquetas;BROTHER DK22225 BLANCA FITA CONTINUA DE PAPEL TERMICO GENERICO DK-22225;38mm * 30.48m;239;2,63   ;3,68   ;3,55   ;8,95   ;No
BR-DK22243;BROTHER;Etiquetas;BROTHER DK22243 BLANCA FITA CONTINUA DE PAPEL TERMICO GENERICO DK-22243;102mm * 30.48m;239;3,53   ;4,94   ;4,77   ;18,50   ;Si
BR-DK22606;BROTHER;Etiquetas;BROTHER DK22606 AMARILLA FITA CONTINUA DE PAPEL TERMICO GENERICO DK-22606;62mm * 15.24m;239;5,71   ;7,99   ;7,71   ;17,50   ;No
BR-DK44205;BROTHER;Etiquetas;BROTHER DK44205 BLANCA FITA CONTINUA REMOVIBLE DE PAPEL TERMICO GENERICO DK-44205;62mm * 30.48m;239;2,76   ;3,87   ;3,73   ;11,75   ;Si
BR-DK44605;BROTHER;Etiquetas;BROTHER DK44605 AMARILLA FITA CONTINUA REMOVIBLE DE PAPEL TERMICO GENERICO DK-44605;62mm * 30.48m;239;4,63   ;6,48   ;6,25   ;16,50   ;No
BR-DKN55224;BROTHER;Etiquetas;BROTHER DKN55224 BLANCA FITA CONTINUA NO ADHESIVA PARA TARJETAS DE IDENTIFICACION DE PAPEL TERMICO GENERICO DK-N55224;54mm * 30.48m;239;4,35   ;6,09   ;5,87   ;9,90   ;Si
BR-EM200BK;BROTHER;Matricial;BROTHER GRUPO 154C NEGRA FITA CORRECTORA GENERICA;8mm * 162m;193;1,84   ;2,57   ;2,48   ;4,90   ;Si
BR-PC202;BROTHER;TTR;BROTHER PC-202RF ROLO DE TRANSFERENCIA TERMICA GENERICO (1 ROLO);217mm * 100m;198;1,97   ;2,76   ;2,66   ;9,90   ;Si
