Referência;MARCA;Impressora;Descrição;Capacidade;Família;Preço de Compra s/Imposto;PVD2;PVD3;Preço c/Imposto;PVD3
RT-MPC4502MG;RICOH;Toner (Laser);RICOH AFICIO MP-C4502/MP-C5502 MAGENTA CARTUCHO DE TONER GENERICO 841685/841753/TYPE5502E;22.500 Páginas;185;26,46   ;38,36   ;35,72   ;64,90   ;Si
RT-MPC4502YL;RICOH;Toner (Laser);RICOH AFICIO MP-C4502/MP-C5502 YELLOW CARTUCHO DE TONER GENERICO 841684/841752/TYPE5502E;22.500 Páginas;185;26,46   ;38,36   ;35,72   ;64,90   ;Si
RT-MPC4503BK;RICOH;Toner (Laser);RICOH AFICIO MP-C4503/MP-C5503/MP-C6003 BLACK CARTUCHO DE TONER GENERICO 841853;33.000 Páginas;185;24,81   ;35,97   ;33,49   ;69,90   ;Si
RT-MPC4503CY;RICOH;Toner (Laser);RICOH AFICIO MP-C4503/MP-C5503/MP-C6003 CYAN CARTUCHO DE TONER GENERICO 841856;22.500 Páginas;185;28,22   ;40,92   ;38,10   ;89,90   ;Si
RT-MPC4503MG;RICOH;Toner (Laser);RICOH AFICIO MP-C4503/MP-C5503/MP-C6003 MAGENTA CARTUCHO DE TONER GENERICO 841855;22.500 Páginas;185;28,22   ;40,92   ;38,10   ;89,90   ;Si
RT-MPC4503YL;RICOH;Toner (Laser);RICOH AFICIO MP-C4503/MP-C5503/MP-C6003 YELLOW CARTUCHO DE TONER GENERICO 841854;22.500 Páginas;185;28,22   ;40,92   ;38,10   ;89,90   ;Si
RT-MPC4504BK;RICOH;Toner (Laser);RICOH AFICIO MP-C4504/MP-C5504/MP-C6004 BLACK CARTUCHO DE TONER GENERICO;33.000 Páginas;185;16,77   ;24,32   ;22,65   ;49,90   ;Si
RT-MPC4504CY;RICOH;Toner (Laser);RICOH AFICIO MP-C4504/MP-C5504/MP-C6004 CYAN CARTUCHO DE TONER GENERICO;22.500 Páginas;185;21,10   ;30,59   ;28,48   ;74,90   ;Si
RT-MPC4504MG;RICOH;Toner (Laser);RICOH AFICIO MP-C4504/MP-C5504/MP-C6004 MAGENTA CARTUCHO DE TONER GENERICO;22.500 Páginas;185;21,10   ;30,59   ;28,48   ;74,90   ;Si
RT-MPC4504YL;RICOH;Toner (Laser);RICOH AFICIO MP-C4504/MP-C5504/MP-C6004 YELLOW CARTUCHO DE TONER GENERICO;22.500 Páginas;185;21,10   ;30,59   ;28,48   ;74,90   ;Si
RT-MPC5000BK;RICOH;Toner (Laser);RICOH AFICIO MP-C4000/MP-C5000 BLACK CARTUCHO DE TONER GENERICO 842048/841160;23.000 Páginas;185;15,23   ;22,08   ;20,56   ;51,90   ;Si
RT-MPC5000CY;RICOH;Toner (Laser);RICOH AFICIO MP-C4000/MP-C5000/MP-C4501/MP-C5501 CYAN CARTUCHO DE TONER GENERICO 842051/841459/841163;17.000 Páginas;185;16,31   ;23,65   ;22,02   ;58,90   ;Si
RT-MPC5000MG;RICOH;Toner (Laser);RICOH AFICIO MP-C4000/MP-C5000/MP-C4501/MP-C5501 MAGENTA CARTUCHO DE TONER GENERICO 842050/841458/841162;17.000 Páginas;185;16,31   ;23,65   ;22,02   ;58,90   ;Si
RT-MPC5000YL;RICOH;Toner (Laser);RICOH AFICIO MP-C4000/MP-C5000/MP-C4501/MP-C5501 YELLOW CARTUCHO DE TONER GENERICO 842049/841457/841161;17.000 Páginas;185;16,31   ;23,65   ;22,02   ;58,90   ;Si
RT-SP1000;RICOH;Toner (Laser);RICOH SP1000 BLACK CARTUCHO DE TONER GENERICO 413196;4.000 Páginas;185;12,48   ;17,48   ;16,85   ;43,90   ;Si
RT-SP100E;RICOH;Toner (Laser);RICOH AFICIO SP100E/SP112 BLACK CARTUCHO DE TONER GENERICO 407166/SP 100LE;1.200 Páginas;185;8,23   ;11,52   ;11,10   ;31,90   ;Si
RT-SP1100;RICOH;Toner (Laser);RICOH SP1100 BLACK CARTUCHO DE TONER GENERICO 406572;4.000 Páginas;185;13,19   ;18,47   ;17,81   ;54,90   ;No
RT-SP150;RICOH;Toner (Laser);RICOH AFICIO SP150 BLACK CARTUCHO DE TONER GENERICO 408010/SP 150HE;1.500 Páginas;185;6,47   ;9,06   ;8,74   ;38,90   ;Si
RT-SP201/SP204;RICOH;Toner (Laser);RICOH AFICIO SP201N/SP204SN/SP203S/SP211 BLACK CARTUCHO DE TONER GENERICO 407999/407254/SP 201E/SP 201HE;2.600 Páginas;185;6,76   ;9,47   ;9,13   ;29,90   ;Si
RT-SP277;RICOH;Toner (Laser);RICOH AFICIO SP277 BLACK CARTUCHO DE TONER GENERICO 408160/SP-277HE;2.600 Páginas;185;6,48   ;9,08   ;8,75   ;34,90   ;Si
RT-SP300DN;RICOH;Toner (Laser);RICOH AFICIO SP300DN BLACK CARTUCHO DE TONER GENERICO 406956;1.500 Páginas;185;9,20   ;12,88   ;12,42   ;38,90   ;Si
RT-SP311DN;RICOH;Toner (Laser);RICOH AFICIO SP311DN/SP325 BLACK CARTUCHO DE TONER GENERICO 407246/407249/821242/SP 311HE/SP 311LE/SP 311UHY;3.500 Páginas;185;8,08   ;11,31   ;10,91   ;49,90   ;Si
RT-SP3200SF;RICOH;Toner (Laser);RICOH AFICIO SP3200/SP3200SF BLACK CARTUCHO DE TONER GENERICO 402887/407162;8.000 Páginas;185;12,73   ;17,82   ;17,18   ;39,95   ;No
RT-SP3300D;RICOH;Toner (Laser);RICOH AFICIO SP3300D BLACK CARTUCHO DE TONER GENERICO 406218/SP-3300E;5.000 Páginas;185;11,62   ;16,27   ;15,69   ;46,50   ;Si
RT-SP3400;RICOH;Toner (Laser);RICOH AFICIO SP3400/SP3410/SP3500/SP3510 BLACK CARTUCHO DE TONER GENERICO 406522/406990;5.000 Páginas;185;7,74   ;10,83   ;10,45   ;38,90   ;Si
RT-SP377;RICOH;Toner (Laser);RICOH AFICIO SP377 BLACK CARTUCHO DE TONER GENERICO SP-377XE/408162;6.400 Páginas;185;7,00   ;9,80   ;9,45   ;38,90   ;Si
RT-SP4100/SP4110;RICOH;Toner (Laser);RICOH AFICIO SP4100/SP4110/SP4210/SP4310 BLACK CARTUCHO DE TONER GENERICO 407008/402810/403180/407649/TYPE 220;15.000 Páginas;185;30,61   ;44,39   ;41,33   ;89,90   ;Si
RT-SP4500;RICOH;Toner (Laser);RICOH AFICIO SP3600/SP3610/SP4500/SP4510/SP4520/MP401SPF/MP402SPF BLACK CARTUCHO DE TONER GENERICO SP4500HE/407318/407340;12.000 Páginas;185;12,00   ;16,80   ;16,20   ;47,90   ;No
RT-SP5200;RICOH;Toner (Laser);RICOH AFICIO SP5200/SP5210 BLACK CARTUCHO DE TONER GENERICO 406685;25.000 Páginas;185;25,70   ;37,26   ;34,69   ;78,90   ;Si
RT-SP6330;RICOH;Toner (Laser);RICOH AFICIO SP6330 BLACK CARTUCHO DE TONER GENERICO SP-6330E/406649/821231;20.000 Páginas;185;33,96   ;49,24   ;45,85   ;114,90   ;Si
RT-SPC221BK;RICOH;Toner (Laser);RICOH AFICIO SP-C221N BLACK TONER GENERICO 406052;2.000 Páginas;185;18,32   ;26,56   ;24,73   ;64,75   ;Si
RT-SPC221CY;RICOH;Toner (Laser);RICOH AFICIO SP-C221N CYAN TONER GENERICO 406053;2.000 Páginas;185;18,32   ;26,56   ;24,73   ;64,75   ;Si
RT-SPC221MG;RICOH;Toner (Laser);RICOH AFICIO SP-C221N MAGENTA TONER GENERICO 406054;2.000 Páginas;185;18,32   ;26,56   ;24,73   ;64,75   ;Si
RT-SPC221YL;RICOH;Toner (Laser);RICOH AFICIO SP-C221N YELLOW TONER GENERICO 406055;2.000 Páginas;185;18,32   ;26,56   ;24,73   ;64,75   ;Si
RT-SPC231BK;RICOH;Toner (Laser);RICOH AFICIO SP-C231N/SP-C310 BLACK CARTUCHO DE TONER GENERICO 406479;6.500 Páginas;185;21,14   ;30,66   ;28,55   ;76,85   ;Si
RT-SPC231CY;RICOH;Toner (Laser);RICOH AFICIO SP-C231N/SP-C310 CYAN CARTUCHO DE TONER GENERICO 406480;6.000 Páginas;185;21,14   ;30,66   ;28,55   ;79,85   ;Si
RT-SPC231MG;RICOH;Toner (Laser);RICOH AFICIO SP-C231N/SP-C310 MAGENTA CARTUCHO DE TONER GENERICO 406481;6.000 Páginas;185;21,14   ;30,66   ;28,55   ;79,85   ;Si
RT-SPC231YL;RICOH;Toner (Laser);RICOH AFICIO SP-C231N/SP-C310 YELLOW CARTUCHO DE TONER GENERICO 406482;6.000 Páginas;185;21,14   ;30,66   ;28,55   ;79,85   ;No
RT-SPC250BK;RICOH;Toner (Laser);RICOH AFICIO SP-C250DN/SP-C250SF BLACK CARTUCHO DE TONER GENERICO 407543;2.000 Páginas;185;21,61   ;31,34   ;29,17   ;47,90   ;No
RT-SPC250CY;RICOH;Toner (Laser);RICOH AFICIO SP-C250DN/SP-C250SF CYAN CARTUCHO DE TONER GENERICO 407544;1.600 Páginas;185;21,61   ;31,34   ;29,17   ;47,90   ;No
RT-SPC250MG;RICOH;Toner (Laser);RICOH AFICIO SP-C250DN/SP-C250SF MAGENTA CARTUCHO DE TONER GENERICO 407545;1.600 Páginas;185;21,61   ;31,34   ;29,17   ;47,90   ;No
RT-SPC250YL;RICOH;Toner (Laser);RICOH AFICIO SP-C250DN/SP-C250SF YELLOW CARTUCHO DE TONER GENERICO 407546;1.600 Páginas;185;21,61   ;31,34   ;29,17   ;47,90   ;Si
RT-SPC252BK;RICOH;Toner (Laser);RICOH AFICIO SP-C252DN/SP-C252SF BLACK CARTUCHO DE TONER GENERICO 407531;4.500 Páginas;185;23,50   ;34,08   ;31,73   ;54,90   ;Si
RT-SPC252CY;RICOH;Toner (Laser);RICOH AFICIO SP-C252DN/SP-C252SF CYAN CARTUCHO DE TONER GENERICO 407532;4.000 Páginas;185;23,50   ;34,08   ;31,73   ;64,90   ;Si
RT-SPC252MG;RICOH;Toner (Laser);RICOH AFICIO SP-C252DN/SP-C252SF MAGENTA CARTUCHO DE TONER GENERICO 407533;4.000 Páginas;185;23,50   ;34,08   ;31,73   ;64,90   ;Si
RT-SPC252YL;RICOH;Toner (Laser);RICOH AFICIO SP-C252DN/SP-C252SF YELLOW CARTUCHO DE TONER GENERICO 407534;4.000 Páginas;185;23,50   ;34,08   ;31,73   ;64,90   ;Si
RT-SPC352BK;RICOH;Toner (Laser);RICOH AFICIO SP-C352DN BLACK CARTUCHO DE TONER GENERICO 407383/SP C352E;10.000 Páginas;185;11,17   ;15,64   ;15,08   ;44,90   ;Si
RT-SPC352CY;RICOH;Toner (Laser);RICOH AFICIO SP-C352DN CYAN CARTUCHO DE TONER GENERICO 407384/SP C352E;9.000 Páginas;185;10,97   ;15,36   ;14,81   ;64,90   ;Si
RT-SPC352MG;RICOH;Toner (Laser);RICOH AFICIO SP-C352DN MAGENTA CARTUCHO DE TONER GENERICO 407385/SP C352E;9.000 Páginas;185;10,97   ;15,36   ;14,81   ;64,90   ;Si
RT-SPC352YL;RICOH;Toner (Laser);RICOH AFICIO SP-C352DN YELLOW CARTUCHO DE TONER GENERICO 407386/SP C352E;9.000 Páginas;185;10,97   ;15,36   ;14,81   ;64,90   ;Si
RT-SPC411BK;RICOH;Toner (Laser);RICOH AFICIO SP-C410DN/SP-C411DN/TYPE 245 BLACK CARTUCHO DE TONER GENERICO 888312;15.000 Páginas;185;9,78   ;13,70   ;13,21   ;62,90   ;Si
RT-SPC411CY;RICOH;Toner (Laser);RICOH AFICIO SP-C410DN/SP-C411DN/TYPE 245 CYAN CARTUCHO DE TONER GENERICO 888315;15.000 Páginas;185;13,79   ;19,31   ;18,62   ;62,90   ;Si
RT-SPC411MG;RICOH;Toner (Laser);RICOH AFICIO SP-C410DN/SP-C411DN/TYPE 245 MAGENTA CARTUCHO DE TONER GENERICO 888314;15.000 Páginas;185;13,79   ;19,31   ;18,62   ;62,90   ;Si
RT-SPC411YL;RICOH;Toner (Laser);RICOH AFICIO SP-C410DN/SP-C411DN/TYPE 245 YELLOW CARTUCHO DE TONER GENERICO 888313;15.000 Páginas;185;13,79   ;19,31   ;18,62   ;62,90   ;Si
RT-SPC430BK;RICOH;Toner (Laser);RICOH AFICIO SP-C430DN/SP-C431DN BLACK CARTUCHO DE TONER GENERICO 821074/821094;15.000 Páginas;185;13,82   ;19,35   ;18,65   ;77,90   ;Si
RT-SPC430CY;RICOH;Toner (Laser);RICOH AFICIO SP-C430DN/SP-C431DN CYAN CARTUCHO DE TONER GENERICO 821077/821097;15.000 Páginas;185;13,82   ;19,35   ;18,65   ;89,90   ;Si
RT-SPC430MG;RICOH;Toner (Laser);RICOH AFICIO SP-C430DN/SP-C431DN MAGENTA CARTUCHO DE TONER GENERICO 821076/821096;15.000 Páginas;185;13,82   ;19,35   ;18,65   ;89,90   ;Si
RT-SPC430YL;RICOH;Toner (Laser);RICOH AFICIO SP-C430DN/SP-C431DN YELLOW CARTUCHO DE TONER GENERICO 821075/821095;15.000 Páginas;185;13,82   ;19,35   ;18,65   ;89,90   ;Si
RT-SPC811BK;RICOH;Toner (Laser);RICOH AFICIO SP-C811DN BLACK CARTUCHO DE TONER GENERICO 884201;20.000 Páginas;185;11,96   ;16,74   ;16,14   ;52,90   ;Si
RT-SPC811CY;RICOH;Toner (Laser);RICOH AFICIO SP-C811DN CYAN CARTUCHO DE TONER GENERICO 884204;15.000 Páginas;185;16,18   ;23,46   ;21,84   ;62,90   ;Si
RT-SPC811MG;RICOH;Toner (Laser);RICOH AFICIO SP-C811DN MAGENTA CARTUCHO DE TONER GENERICO 884203;15.000 Páginas;185;16,18   ;23,46   ;21,84   ;62,90   ;Si
RT-SPC811YL;RICOH;Toner (Laser);RICOH AFICIO SP-C811DN YELLOW CARTUCHO DE TONER GENERICO 884202;15.000 Páginas;185;16,18   ;23,46   ;21,84   ;62,90   ;No
RT-SPC821BK;RICOH;Toner (Laser);RICOH AFICIO SP-C820DN/SP-C821DN BLACK CARTUCHO DE TONER GENERICO 820116/821058;20.000 Páginas;185;16,23   ;23,53   ;21,91   ;44,90   ;Si
RT-SPC821CY;RICOH;Toner (Laser);RICOH AFICIO SP-C820DN/SP-C821DN CYAN CARTUCHO DE TONER GENERICO 820119/821061;15.000 Páginas;185;18,08   ;26,22   ;24,41   ;68,90   ;No
RT-SPC821MG;RICOH;Toner (Laser);RICOH AFICIO SP-C820DN/SP-C821DN MAGENTA CARTUCHO DE TONER GENERICO 820118/821060;15.000 Páginas;185;18,08   ;26,22   ;24,41   ;68,90   ;No
RT-SPC821YL;RICOH;Toner (Laser);RICOH AFICIO SP-C820DN/SP-C821DN YELLOW CARTUCHO DE TONER GENERICO 820117/821059;15.000 Páginas;185;18,08   ;26,22   ;24,41   ;68,90   ;Si
RT-SPC831BK;RICOH;Toner (Laser);RICOH AFICIO SP-C830DN/SP-C831DN BLACK CARTUCHO DE TONER GENERICO 821121/821181;23.500 Páginas;185;12,54   ;17,55   ;16,92   ;44,90   ;Si
RT-SPC831CY;RICOH;Toner (Laser);RICOH AFICIO SP-C830DN/SP-C831DN CYAN CARTUCHO DE TONER GENERICO 821124/821184;27.000 Páginas;185;21,92   ;31,78   ;29,59   ;68,90   ;Si
RT-SPC831MG;RICOH;Toner (Laser);RICOH AFICIO SP-C830DN/SP-C831DN MAGENTA CARTUCHO DE TONER GENERICO 821123/821183;27.000 Páginas;185;21,92   ;31,78   ;29,59   ;68,90   ;Si
RT-SPC831YL;RICOH;Toner (Laser);RICOH AFICIO SP-C830DN/SP-C831DN YELLOW CARTUCHO DE TONER GENERICO 821122/821182;27.000 Páginas;185;21,92   ;31,78   ;29,59   ;68,90   ;Si
RT-TYPE1220D;RICOH;Toner (Laser);RICOH TYPE 1220D CARTUCHO DE TONER GENERICO 888087;9.000 Páginas;185;3,27   ;4,57   ;4,41   ;18,50   ;Si
RT-TYPE1230D;LANIER;Toner (Laser);LANIER TYPE 1230D CARTUCHO DE TONER GENERICO;10.000 Páginas;185;2,43   ;3,41   ;3,28   ;18,50   ;Si
RT-TYPE1230D;NASHUATEC;Toner (Laser);NASHUATEC TYPE 1230D CARTUCHO DE TONER GENERICO;10.000 Páginas;185;2,43   ;3,41   ;3,28   ;18,50   ;Si
RT-TYPE1230D;GESTETNER;Toner (Laser);GESTETNER TYPE 1230D BLACK CARTUCHO DE TONER GENERICO;10.000 Páginas;185;2,43   ;3,41   ;3,28   ;18,50   ;Si
RT-TYPE1230D;RICOH;Toner (Laser);RICOH TYPE 1230D CARTUCHO DE TONER GENERICO 885094;10.000 Páginas;185;2,43   ;3,41   ;3,28   ;18,50   ;Si
RT-TYPE1250D;RICOH;Toner (Laser);RICOH TYPE 1250D BLACK CARTUCHO DE TONER GENERICO 885258;7.000 Páginas;185;3,44   ;4,82   ;4,65   ;17,50   ;Si
RT-TYPE1270D;LANIER;Toner (Laser);LANIER TYPE 1270D BLACK CARTUCHO DE TONER GENERICO;7.000 Páginas;185;2,47   ;3,46   ;3,33   ;14,90   ;Si
RT-TYPE1270D;RICOH;Toner (Laser);RICOH TYPE 1270D BLACK CARTUCHO DE TONER GENERICO 888261/842024;7.000 Páginas;185;2,47   ;3,46   ;3,33   ;14,90   ;Si
RT-TYPE1270D;NASHUATEC;Toner (Laser);NASHUATEC TYPE 1270D BLACK CARTUCHO DE TONER GENERICO;7.000 Páginas;185;2,47   ;3,46   ;3,33   ;14,90   ;Si
RT-TYPE1270D;REX ROTARY;Toner (Laser);REX ROTARY TYPE 1270D BLACK CARTUCHO DE TONER GENERICO;7.000 Páginas;185;2,47   ;3,46   ;3,33   ;14,90   ;No
RT-TYPE165BK;RICOH;Toner (Laser);RICOH TYPE 165 BLACK CARTUCHO DE TONER GENERICO 402444;7.000 Páginas;185;15,93   ;23,10   ;21,51   ;38,99   ;No
RT-TYPE165CY;RICOH;Toner (Laser);RICOH TYPE 165 CYAN CARTUCHO DE TONER GENERICO 402445;6.000 Páginas;185;20,06   ;29,09   ;27,08   ;59,90   ;No
RT-TYPE165MG;RICOH;Toner (Laser);RICOH TYPE 165 MAGENTA CARTUCHO DE TONER GENERICO 402446;6.000 Páginas;185;20,06   ;29,09   ;27,08   ;59,90   ;No
RT-TYPE165YL;RICOH;Toner (Laser);RICOH TYPE 165 YELLOW CARTUCHO DE TONER GENERICO 402447;6.000 Páginas;185;20,06   ;29,09   ;27,08   ;59,90   ;Si
RT-TYPE2205D;RICOH;Toner (Laser);RICOH TYPE 2205D BLACK CARTUCHO DE TONER GENERICO 889614;8.000 Páginas;185;3,75   ;5,25   ;5,06   ;18,50   ;Si
RT-TYPE2210D;RICOH;Toner (Laser);RICOH TYPE 2210D BLACK CARTUCHO DE TONER GENERICO 885053;11.000 Páginas;185;3,82   ;5,34   ;5,15   ;19,75   ;Si
RT-TYPE2220D;LANIER;Toner (Laser);LANIER TYPE 2220D BLACK CARTUCHO DE TONER GENERICO;11.000 Páginas;185;2,93   ;4,11   ;3,96   ;19,75   ;Si
RT-TYPE2220D;RICOH;Toner (Laser);RICOH TYPE 2220D BLACK CARTUCHO DE TONER GENERICO 885266;11.000 Páginas;185;2,93   ;4,11   ;3,96   ;19,95   ;Si
RT-TYPE2220D;GESTETNER;Toner (Laser);GESTETNER TYPE 2220D BLACK CARTUCHO DE TONER GENERICO;11.000 Páginas;185;2,93   ;4,11   ;3,96   ;19,75   ;Si
RT-TYPE3200D;RICOH;Toner (Laser);RICOH TYPE 3200D BLACK CARTUCHO DE TONER GENERICO 885060;27.000 Páginas;185;6,57   ;9,19   ;8,86   ;28,50   ;Si
RT-TYPE3205D;GESTETNER;Toner (Laser);GESTETNER TYPE 3205D BLACK CARTUCHO DE TONER GENERICO;15.000 pag;185;5,97   ;8,35   ;8,05   ;26,50   ;Si
RT-TYPE3205D;RICOH;Toner (Laser);RICOH TYPE 3205D BLACK CARTUCHO DE TONER GENERICO 888063/885251;15.000 pag;185;5,97   ;8,35   ;8,05   ;26,50   ;Si
RT-TYPE3210D;LANIER;Toner (Laser);LANIER TYPE 3210D BLACK CARTUCHO DE TONER GENERICO;15.000 Páginas;185;5,14   ;7,20   ;6,94   ;26,50   ;Si
RT-TYPE3210D;NASHUATEC;Toner (Laser);NASHUATEC TYPE 3210D BLACK CARTUCHO DE TONER GENERICO;15.000 Páginas;185;5,14   ;7,20   ;6,94   ;26,50   ;Si
RT-TYPE3210D;RICOH;Toner (Laser);RICOH TYPE 3210D BLACK CARTUCHO DE TONER GENERICO 888182;15.000 Páginas;185;5,14   ;7,20   ;6,94   ;26,50   ;Si
RT-TYPE4500D;RICOH;Toner (Laser);RICOH TYPE 4500D BLACK CARTUCHO DE TONER GENERICO 841347;30.000 Páginas;185;3,56   ;4,99   ;4,81   ;23,50   ;Si
RT-TYPE5200D;RICOH;Toner (Laser);RICOH TYPE 5200D BLACK CARTUCHO DE TONER GENERICO 885190;42.000 Páginas;185;13,44   ;18,81   ;18,14   ;39,95   ;Si
RT-TYPE5205D;RICOH;Toner (Laser);RICOH TYPE 5205D BLACK CARTUCHO DE TONER GENERICO 885241;43.000 Páginas;185;16,01   ;23,21   ;21,61   ;39,95   ;Si
RT-TYPE6210D;RICOH;Toner (Laser);RICOH TYPE 6110D/6210D BLACK CARTUCHO DE TONER GENERICO 885098;43.000 Páginas;185;8,38   ;11,73   ;11,31   ;39,95   ;Si
SHT-AR202LT;SHARP;Toner (Laser);SHARP AR-202LT BLACK CARTUCHO DE TONER GENERICO;16.000 Páginas;185;11,36   ;15,90   ;15,33   ;41,90   ;No
SHT-MX23BK;SHARP;Toner (Laser);SHARP MX23 BLACK CARTUCHO DE TONER GENERICO MX-23GTBA;18.000 Páginas;185;17,70   ;25,67   ;23,90   ;41,90   ;No
SHT-MX23CY;SHARP;Toner (Laser);SHARP MX23 CYAN CARTUCHO DE TONER GENERICO MX-23GTCA;10.000 Páginas;185;17,70   ;25,67   ;23,90   ;41,90   ;No
SHT-MX23MG;SHARP;Toner (Laser);SHARP MX23 MAGENTA CARTUCHO DE TONER GENERICO MX-23GTMA;10.000 Páginas;185;17,70   ;25,67   ;23,90   ;41,90   ;No
SHT-MX23YL;SHARP;Toner (Laser);SHARP MX23 YELLOW CARTUCHO DE TONER GENERICO MX-23GTYA;10.000 Páginas;185;17,70   ;25,67   ;23,90   ;41,90   ;No
SHT-MX27BK;SHARP;Toner (Laser);SHARP MX27 BLACK CARTUCHO DE TONER GENERICO MX-27GTBA;18.000 Páginas;185;12,93   ;18,11   ;17,46   ;35,90   ;No
SHT-MX27CY;SHARP;Toner (Laser);SHARP MX27 CYAN CARTUCHO DE TONER GENERICO MX-27GTCA;15.000 Páginas;185;17,87   ;25,91   ;24,12   ;49,90   ;No
SHT-MX27MG;SHARP;Toner (Laser);SHARP MX27 MAGENTA CARTUCHO DE TONER GENERICO MX-27GTMA;15.000 Páginas;185;17,87   ;25,91   ;24,12   ;49,90   ;No
SHT-MX27YL;SHARP;Toner (Laser);SHARP MX27 YELLOW CARTUCHO DE TONER GENERICO MX-27GTYA;15.000 Páginas;185;17,87   ;25,91   ;24,12   ;49,90   ;No
SHT-MX315;SHARP;Toner (Laser);SHARP MX315 BLACK CARTUCHO DE TONER GENERICO MX-315GT;27.500 Páginas;185;18,76   ;27,20   ;25,33   ;44,90   ;Si
SHT-MX31BK;SHARP;Toner (Laser);SHARP MX31 BLACK CARTUCHO DE TONER GENERICO MX-31GTBA;18.000 Páginas;185;13,89   ;19,45   ;18,76   ;35,90   ;No
SHT-MX31CY;SHARP;Toner (Laser);SHARP MX31 CYAN CARTUCHO DE TONER GENERICO MX-31GTCA;15.000 Páginas;185;20,64   ;29,93   ;27,86   ;49,90   ;Si
SHT-MX31MG;SHARP;Toner (Laser);SHARP MX31 MAGENTA CARTUCHO DE TONER GENERICO MX-31GTMA;15.000 Páginas;185;20,64   ;29,93   ;27,86   ;49,90   ;No
SHT-MX31YL;SHARP;Toner (Laser);SHARP MX31 YELLOW CARTUCHO DE TONER GENERICO MX-31GTYA;15.000 Páginas;185;20,64   ;29,93   ;27,86   ;49,90   ;No
SHT-MX36BK;SHARP;Toner (Laser);SHARP MX36 BLACK CARTUCHO DE TONER GENERICO MX-36GTBA;24.000 Páginas;185;19,47   ;28,23   ;26,28   ;44,90   ;No
SHT-MX36CY;SHARP;Toner (Laser);SHARP MX36 CYAN CARTUCHO DE TONER GENERICO MX-36GTCA;15.000 Páginas;185;21,83   ;31,65   ;29,47   ;59,90   ;No
SHT-MX36MG;SHARP;Toner (Laser);SHARP MX36 MAGENTA CARTUCHO DE TONER GENERICO MX-36GTMA;15.000 Páginas;185;21,83   ;31,65   ;29,47   ;59,90   ;No
SHT-MX36YL;SHARP;Toner (Laser);SHARP MX36 YELLOW CARTUCHO DE TONER GENERICO MX-36GTYA;15.000 Páginas;185;21,83   ;31,65   ;29,47   ;59,90   ;No
SHT-MX45;SHARP;Toner (Laser);SHARP MX45 BLACK CARTUCHO DE TONER GENERICO MX-45GTBA;36.000 Páginas;185;17,11   ;24,81   ;23,10   ;54,90   ;No
SHT-MX50;SHARP;Toner (Laser);SHARP MX50 BLACK CARTUCHO DE TONER GENERICO MX-50GTBA;36.000 Páginas;185;17,11   ;24,81   ;23,10   ;54,90   ;Si
SHT-MX51BK;SHARP;Toner (Laser);SHARP MX51 BLACK CARTUCHO DE TONER GENERICO MX-51GTBA;40.000 Páginas;185;22,64   ;32,83   ;30,56   ;64,90   ;Si
SHT-MX51CY;SHARP;Toner (Laser);SHARP MX51 CYAN CARTUCHO DE TONER GENERICO MX-51GTCA;18.000 Páginas;185;22,64   ;32,83   ;30,56   ;69,90   ;Si
SHT-MX51MG;SHARP;Toner (Laser);SHARP MX51 MAGENTA CARTUCHO DE TONER GENERICO MX-51GTMA;18.000 Páginas;185;22,64   ;32,83   ;30,56   ;69,90   ;Si
SHT-MX51YL;SHARP;Toner (Laser);SHARP MX51 YELLOW CARTUCHO DE TONER GENERICO MX-51GTYA;18.000 Páginas;185;22,64   ;32,83   ;30,56   ;69,90   ;Si
SI-M210C;SAMSUNG;Tinta (Ink-jet);SAMSUNG M210 TRICOLOR CARTUCHO DE TINTA GENERICO INK-M210;40 ml;181;1,88   ;2,63   ;2,54   ;9,95   ;Si
SI-M215BK(PG);SAMSUNG;Tinta (Ink-jet);SAMSUNG M215 BLACK CARTUCHO DE TINTA PIGMENTADA GENERICO INK-M215;20 ml;181;1,78   ;2,49   ;2,40   ;9,95   ;Si
SI-M40;SAMSUNG;Tinta (Ink-jet);SAMSUNG M40 BLACK CARTUCHO DE TINTA REMANUFACTURADO INK-M40;18 ml;181;4,49   ;6,29   ;6,06   ;14,90   ;Si
SI-M41;SAMSUNG;Tinta (Ink-jet);SAMSUNG M41 BLACK CARTUCHO DE TINTA REMANUFACTURADO;27 ml;181;5,95   ;8,32   ;8,03   ;16,50   ;Si
SKR-SP800BK;SEIKOSHA;Matricial;SEIKOSHA SP800/SP1600/SP2400 NEGRA FITA MATRICIAL GENERICA SP16051/91611;12.7mm * 12m;193;0,78   ;1,09   ;1,05   ;4,90   ;Si
SKR-ST10PU;SEIKOSHA;Matricial;SEIKOSHA ST10/TP10/TP15/TP20 VIOLETA FITA MATRICIAL GENERICA;8mm * 2m;193;0,46   ;0,65   ;0,62   ;6,50   ;Si
ST-404SBK;SAMSUNG;Toner (Laser);SAMSUNG CLT-K404S BLACK CARTUCHO DE TONER GENERICO SU100A;1.500 Páginas;185;12,50   ;17,49   ;16,87   ;29,90   ;Si
ST-404SCY;SAMSUNG;Toner (Laser);SAMSUNG CLT-C404S CYAN CARTUCHO DE TONER GENERICO ST966A;1.000 Páginas;185;12,50   ;17,49   ;16,87   ;29,90   ;Si
